id,product,source,text,firm
1,datadog,G2,"What do you like best about Datadog?
What I appreciate most about DataDog are its reliability and observability. Even during major global outages, such as those affecting Cloudflare and AWS, DataDog continued to perform without any issues. The APM, RUM, and Synthetic Checks are exceptionally dependable, giving me the confidence to choose DataDog without hesitation.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
I wish the UI had a more modern look, as it currently feels like I'm using an old inventory management system from the 2000s.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
DataDog has been highly beneficial for us in many ways, from monitoring synthetic checks to tracking APM traces. The platform provides a map of interconnected, dependable services, allowing us to view latency and error rates all in one central location. The alerting mechanism is easy to use, supports numerous integrations, and consistently works smoothly.",NA
2,datadog,G2,"What do you like best about Datadog?
Datadog brings infrastructure, applications, logs, and security signals together in one place, which makes it much easier to understand what is really happening in an environment and to move quickly from detection to action. The correlation between metrics, traces, and logs is particularly valuable when diagnosing incidents, as it reduces guesswork and speeds up root cause analysis.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
While Datadog is extremely powerful, it can become difficult to control and predict costs in large or rapidly changing environments, particularly when ingesting high volumes of logs, metrics, and traces. Without strong governance and regular tuning, usage can grow quickly and lead to unexpected spend.


In addition, the breadth of features can sometimes feel overwhelming. Teams need time and clear ownership to configure dashboards, alerts, and monitors properly; otherwise, there is a risk of noise, alert fatigue, or under-utilisation of the platform’s capabilities.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
Datadog helps us centralise logs and monitor our Java applications and APIs, and provides APM (Application Performance Monitoring) to quickly detect performance issues and troubleshoot incidents or bottlenecks.",small
3,datadog,G2,"What do you like best about Datadog?
The user interface is very intuitive, making it easy to gain insights from the data. getting data into datadog is quite simple due to the multiple integrations, so it get's ready to use in a few clicks, support is responsive, my team uses it every day.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
In terms of cost, this platform is not inexpensive. Additionally, making bulk changes across multiple widgets is not straightforward, which can be inconvenient.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
We leverage Datadog to generate alerts and reports for our services, which helps us maintain higher uptime and gain better visibility into any issues that arise.",NA
4,datadog,G2,"What do you like best about Datadog?
It offers almost every possible way to track the application interactions.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
It's very expensive, and it's not easy to grasp for newbies
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
It gives us insights into our application services and it allows us to catch issues. Also, it provides session replays that allow us to quickly spot issues with the way users interact with our application.",NA
5,datadog,G2,"What do you like best about Datadog?
Datadog is a powerful tool that gives us greater confidence in our company's systems and enhances our ability to detect outages. It offers a wide range of features, most of which we actively use. Datadog provides essential insights into our systems, which helps us investigate problems, identify issues, and monitor performance, these being just a few of the ways we rely on Datadog.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
The cost is one of Datadog's biggest drawbacks, there are some products that would be helpful to use but the cost makes them impractical. The cost of Mobile App Testing testing comes to mind as an example for this.

Additionally, we have experienced some frustration due to pricing changes. Our previous SKUs were grandfathered, but we were eventually required to switch to the newer, more expensive SKU pricing.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
Datadog helps gives our company confidence in knowing that our systems are being monitored and that issues can be detected and addressed by our observability team promptly. We also use the information collected in Datadog to assess the overall health of our systems and drive investigations for any issues detected.",mid-market
6,datadog,G2,"What do you like best about Datadog?
It logs all the details we need for analysis. The platform is user-friendly, allowing us to easily set up various dashboards to view all the insights. Implementation is straightforward as well. We have integrated it with our different platforms, including both web and mobile.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
I have never encountered any major issues. However, there should be an option to retrieve data based on our own custom filters.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
We use Datadog for both performance monitoring and crash analytics. Previously, our main challenge was with crash reporting, as we struggled to debug or analyze crash data in our production environments. However, Datadog has helped us address this issue through its crash reports and log monitoring features.",mid-market
7,datadog,G2,"What do you like best about Datadog?
Datadog's reliability and performance is unmatched which makes it an absolute recommendation.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
Too many features/window are spread-out and could be consolidated/integrated better for easier UX.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
As a developer, DD has been my go to point to investigate any ongoing incidents or malfunctions in our services. The APM offer a great detailed view of the application performance and general health.",NA
8,datadog,G2,"What do you like best about Datadog?
Datadog has everything you could want for observability and alerting and incident management.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
Can be quite overwhelming on where to get started, you need to know exactly what you want to do to get into Datadog.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
Need a simple place to create dashboards and alerts that cover multiple cloud providers",NA
9,datadog,G2,"What do you like best about Datadog?
The way it help provide the observability of the apps from infrasctructure , APM , Browser and with logs metrics and traces.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
The Way we write the Datadog query language. Ui can be a bit better
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
1. APM Application observability

2. understanding logs and metrics and traces for the applications

3. Understanding the infrastrcuture cluster",NA
10,datadog,G2,"What do you like best about Datadog?
I like that Datadog shows issues in real time and the filters help me quickly find the key errors without digging through everything.
Review collected by and hosted on G2.com.

What do you dislike about Datadog?
Sometimes the dashboard feels a bit heavy, and it can take time to set up the right filters when the data gets large. and some time the errors are small but it shows high alerts for it.
Review collected by and hosted on G2.com.

What problems is Datadog solving and how is that benefiting you?
Datadog helps us catch issues fast during live esports events like the World Cup. By checking logs and errors in real time, we can fix problems quickly and keep everything running smoothly.",NA
