id,product,source,text,firm
1,dynatrace,G2,"What do you like best about Dynatrace?
The way it automatically maps out services and dependencies is genuinely helpful, instead of guessing where an issue might be coming from, I can usually spot it pretty quickly. I also like how the dashboards pull everything together in a way that actually makes sense, even when there’s a lot of data flying around.


Another thing I appreciate is the alerts.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
There’s a lot of information packed into the dashboards, and it takes a while to get comfortable with where everything is and what each view actually means
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Instead of manually digging through logs or bouncing between different tools, it ties everything together and points me toward the actual root cause. That alone saves a ton of time during incidents.",mid-market
2,dynatrace,G2,"What do you like best about Dynatrace?
Honestly, Dynatrace kinda blew my mind with how simple it is to get rolling, considering the beast it is under the hood. Setup? Barely broke a sweat—super clear docs, and the UI’s not a labyrinth, which is rare for stuff this technical. I’m in there all the time, poking around because, let’s be real, it’s loaded. Full-stack monitoring, peeking at user experience, whatever—I can pretty much do it all.


Plugging it into other tools? Piece of cake. Cloud stuff, CI/CD pipelines, Slack or whatever you’re using—it just clicks together. I haven’t needed support much (thankfully), but the couple times I did, they actually answered fast and knew what they were talking about. Wild.


The real user monitoring? Total game-changer. You get to see what actual people are doing, live—not just boring stats. And session replay? It’s like CSI for user journeys. I can finally figure out what made someone rage-quit.


The metrics are super detailed, too. Response times, error rates, Apdex—so you can keep tabs on whether things are cruising or crashing. Plus, if you’re into synthetic checks, custom dashboards, or just wanna nerd out over deep-dive data from the infrastructure all the way up to the front-end, it’s all there. No joke, it’s like peeking under the hood of the whole operation.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Man, jumping into this thing? Kinda feels like being tossed into the deep end without floaties. The learning curve’s no joke, especially if you’re brand new. And don’t even get me started on the price—it’s kinda steep, honestly. Not really friendly if you’re running on a shoestring budget or if your team’s tiny. Oh, and those dashboards? They throw so much info at you, it’s like staring at a Where’s Waldo page, but with graphs. If you don’t tweak ‘em, you’ll drown in the chaos. Plus, sometimes they take forever to load. Like, go-make-a-coffee slow. Not exactly a vibe.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Let me tell ya, Dynatrace is kind of a lifesaver. Seriously, it untangles so many headaches across our tech mess—it keeps tabs on basically everything. When it comes to our websites and apps, it’s like having x-ray vision: we see load times, errors, the whole user experience in real time. No more waiting for angry customer emails; we can squash problems before they blow up.


Now, session replay? Total game changer. Sometimes I swear users find new ways to break things, but with replay, we can actually watch what happened—like “oh, THAT’S why the button didn’t work.” No more wild guessing on the front-end stuff.


And then, on the infrastructure side, it doesn’t just stop at the basics. It’s got its hooks in our containers, networks, even the big enterprise machines. We get this bird’s-eye view of how everything connects and runs. Dependencies, bottlenecks, weird blips—you name it, we spot it.


The alerting and log stuff is slick too. We don’t have to bounce between a million tools to figure out what’s on fire. It just lets us know, “Hey, go fix this right now.” So yeah, everything’s in one spot, and it just makes keeping our digital world running a whole lot less stressful. If something goes sideways, we’re on it before anyone even notices.",enterprise
3,dynatrace,G2,"What do you like best about Dynatrace?
I like the complete visibility it offers over applications and infrastructure. The ability to track user actions is excellent for understanding real behavior, identifying issues, and tracking where they are. I constantly use it to support my understanding of the applications.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Sometimes I find its usability complex, especially at the beginning when you don't have experience with the tool.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Before, it was difficult to have visibility of the actions in our applications. Many errors were not monitored, and many problems were difficult to have evidence for analysis.",enterprise
4,dynatrace,G2,"What do you like best about Dynatrace?
The level of details Dynatrace provides is too good. You can dig in down and down and get to the root of the issue.

Pretty easy to implement.

Their customer support is also top notch. While on a dashboard or any page you can connect with support and then work with them to understand the feature or more.

Integration with other tools is also pretty straight.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Quite tough to learn and understand how to use the tool. Basically learning curve is high.

Pretty expensive. If not configured correctly, you will bleed money.

Just due to learning curve, we found frequency of users using app going down
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Dynatrace helps us address several critical challenges in our infrastructure, Kubernetes, and application environments

1. End-to-End Observability Across Hybrid Environments - Dynatrace provides a unified observability platform across servers, containers, applications, and network dependencies. We can trace a single user transaction end-to-end, from front-end to database

2.Kubernetes and Microservices Visibility - Dynatrace automatically maps and monitors Kubernetes workloads, namespaces, and services, showing real-time health and performance metrics

3. Improved Application Performance and User Experience - With Real User Monitoring (RUM) and synthetic tests, we monitor real-world user interactions and simulate business-critical transactions.",enterprise
5,dynatrace,G2,"What do you like best about Dynatrace?
It has the great ability to provide deep, real time insights into the performance of applications and infrastructure. It's an amazing and powerful tool for monitoring complex environment. It has the real the real time monitoring, automatic discovery of dependencies and clear visualisation of problems that saves a lot of time while troubleshooting.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Nothing for now, everything is working perfectly.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
It helps to solve the problems related to visibility cross complex, and modern systems. In large environment with lots of microservices, cloud platforms, and integrations, it is highly chances that issues can get easily slipped through. Dynatrace helps in automatically discovers and monitoring everything end to end, so you have the ability to see exactly where problems start and how they impact users.",mid-market
6,dynatrace,G2,"What do you like best about Dynatrace?
I like most about Dynatrace , it shows the disk storage , cpu usage of every server. It helps to monitor very hosts
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
There is not much dislike about Dynatrace.it will trigger more alerts if it not tuned correctly. Licence is high cost for this usage
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Monitoring the network issues and all the servers regarding disk space , CPU usage. Storage of all the process also to be appeared by using Dynatrace",mid-market
7,dynatrace,G2,"What do you like best about Dynatrace?
The implementation process is simple, and the user interface is highly intuitive, which makes it easy to use even for newcomers to the platform. The product keeps up with market trends by consistently adding new features and offering frequent updates. Customer support is very responsive when it comes to addressing critical issues. Additionally, it integrates well with various third-party platforms, including ServiceNow, PagerDuty, and Microsoft Teams for alert notifications.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
So far, in my work experience, I haven't encountered anything noteworthy.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
The AI analysis of Davis is very good and almost accurate to find the root cause entities which helps to reduce the MTTR for the incident for most of the cases, also the Dashboards are now user interactive with new features like Notebook and Davis AI forecasting.",enterprise
8,dynatrace,G2,"What do you like best about Dynatrace?
Dynatrace offers a great platform for combined observability and visibility for my infrastructure, apps and services. It offers a big variety of features, that are easy to integrate and install.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Dynatrace has a big learning curve. Most things are user friendly but require a lot of reading to get used to. Also at times the customer support at tickets is a bit too slow
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Dynatrace helps to combine all observability tools in one platform. There is no need to have many different platforms, views logs and alerts on different platforms, you can see everything in the Dynatrace tenant and its dashboards.",mid-market
9,dynatrace,G2,"What do you like best about Dynatrace?
Dynatrace is a great solution for monitoring applications and infrastructure. The dashboard is very good, shows a lot of different data in one place, so we not need go different tools. I like how it show real-time performance and alerting is also fast.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
Setup for some custom metric is little confusing, need more simple steps. Documentation is big but not always easy to understand.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Dynatrace helps us with a lot of different functions, from user clicks to backend server. It help us find root cause fast, no need guess or wait long time. Great application and infrastructure monitoring software.",mid-market
10,dynatrace,G2,"What do you like best about Dynatrace?
1) It provides end to end observability capabilities of applications to discover the issues quickly.

2) Automated configurations which reduces the error possibilities that can come during manual setup.

3) It offers great support for cloud native applications such as AWS, Azure and GCP cloud.
Review collected by and hosted on G2.com.

What do you dislike about Dynatrace?
1) Highly costly that small companies may not afford to implement.

2) Less option to customize dashboards as per the requirements.

3) Data center or on-premise support are limited.
Review collected by and hosted on G2.com.

What problems is Dynatrace solving and how is that benefiting you?
Dynatrace is a popular platform which offers complete visibility of applications running on cloud to effectively monitor them at the real-time and it is helping our DevOps and Cloud teams to monitor the applications running on multiple environments to get better insights to maintain the health of systems.",enterprise
